,filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
1,5_Martin_2004_5.png,ln PFDA,"species1, benthic food web",-3.46031746,NA,NA,NA,0.079365079,se,mean_error
2,5_Martin_2004_5.png,ln PFDA,"species2, benthic food web",-3.587301587,NA,NA,NA,0.301587302,se,mean_error
3,5_Martin_2004_5.png,ln PFDA,"species1, pelagic food web",-6.714285714,NA,NA,NA,0.079365079,se,mean_error
4,5_Martin_2004_5.png,ln PFDA,"species2, pelagic food web",-6.873015873,NA,NA,NA,0.73015873,se,mean_error
5,5_Martin_2004_5.png,ln PFDA,"species3, pelagic food web",-5.222222222,NA,NA,NA,0.507936508,se,mean_error
6,5_Martin_2004_5.png,ln PFDA,"species4, pelagic food web",-5.285714286,NA,NA,NA,0.634920635,se,mean_error
,5_Martin_2004_5r.png,TL,"species1, benthic food web",3.324396783,NA,NA,NA,0,se,mean_error
,5_Martin_2004_5r.png,TL,"species2, benthic food web",4.085790885,NA,NA,NA,0,se,mean_error
,5_Martin_2004_5r.png,TL,"species1, pelagic food web",3.579088472,NA,NA,NA,0,se,mean_error
,5_Martin_2004_5r.png,TL,"species2, pelagic food web",4.09919571,NA,NA,NA,0,se,mean_error
,5_Martin_2004_5r.png,TL,"species3, pelagic food web",4.410187668,NA,NA,NA,0,se,mean_error
,5_Martin_2004_5r.png,TL,"species4, pelagic food web",4.941018767,NA,NA,NA,0,se,mean_error
