,filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
1,Gao_2020_2.png,log PFOS,PFOS species 1,1.476821192,0.119205298,NA,NA,NA,sd,mean_error
2,Gao_2020_2.png,log PFOS,PFOS species 2,2.544701987,0.352649007,NA,NA,NA,sd,mean_error
3,Gao_2020_2.png,log PFOS,PFOS species 3,2.549668874,0.298013245,NA,NA,NA,sd,mean_error
4,Gao_2020_2.png,log PFOS,PFOS species 4,2.733443709,0.372516556,NA,NA,NA,sd,mean_error
5,Gao_2020_2.png,log PFOS,PFOS species 5,2.847682119,0.044701987,NA,NA,NA,sd,mean_error
,Gao_2020_2r.png,TL,PFOS species 1,1,0,NA,NA,NA,sd,mean_error
,Gao_2020_2r.png,TL,PFOS species 2,1.632768362,0.124293785,NA,NA,NA,sd,mean_error
,Gao_2020_2r.png,TL,PFOS species 3,2.344632768,0.056497175,NA,NA,NA,sd,mean_error
,Gao_2020_2r.png,TL,PFOS species 4,3.101694915,0.163841808,NA,NA,NA,sd,mean_error
,Gao_2020_2r.png,TL,PFOS species 5,3.429378531,0.056497175,NA,NA,NA,sd,mean_error
