"TMF_ID","FW_ID","PFAS_ID","Sample_type","Biomass_conversion","Regression_type","Conc_determ_method","Undetected_strategy_LOD","Undetected_strategy_LOQ","TMF_formula","TMF","TMF_lower_95CI","TMF_upper_95CI","TMF_se","TMS","TMS_lower_95CI","TMS_upper_95CI","TMS_se","TMS_calculated","TMS_se_calculated","n_samples","n_obs","tau.rho","intercept","pvalue","pvalue_adj","r","z_value","ln_TMF","ln_TMF_se","Study_ID","Ecosystem","Location","Latitude","Longitude","Latitude_DD","Longitude_DD","Species_composition","n_species","Species_highest_TL","Species_cn_highest_TL","Taxa_highest_TL","TL_calculation_method","TL_values","Breathing_type_fw","Breathing_type","TL_highest","TL_lowest","fw_length","Author_year","Note","Rd_ext","Rd_ext_done","Lm_done","Title","DOI","Journal","Study_design","TEF","TEF_unit_of_measurement","TL_calculation_baseline","IFF","Linear_regression_formula","Aggregation","Regression_variable","year_publication","Synonym","Compound_full_name","Molecular_formula","ccl","Chain_length","Class","CASRN"
"TMF_001","FW_001","PFHpA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",1.43,0.89,2.29,0.714285714285714,0.15,NA,NA,0.101640406491067,NA,NA,"101","",NA,"-1.69","0.14",0.14,NA,1.47579102817917,0.357674444271816,0.4995004995005,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,NA,"Perfluoroheptanoic acid","C7F17COOH",7,"short","PFCA","375-85-9"
"TMF_002","FW_001","PFOA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",3.28,2.33,4.61,1.16326530612245,0.51,NA,NA,0.084521753461203,NA,NA,"101","",NA,"-2.35","1.6*10^-9",1.6e-09,NA,6.03394959422014,1.18784342239605,0.354654056744649,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,NA,"Perfluorooctanoic acid","C8F17COOH",8,"long","PFCA","335-67-1"
"TMF_003","FW_001","PFNA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",7.03,4.99,9.88,2.49489795918367,0.84,NA,NA,0,NA,NA,"101","",NA,"-3.71","8.6*10^-18",0,NA,Inf,1.95018670582257,0.354893024065956,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,NA,"Perfluorononanoic acid","C9F17COOH",9,"long","PFCA","375-95-1"
"TMF_004","FW_001","PFDA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",8.29,5.68,12.1,3.27551020408163,0.92,NA,NA,0,NA,NA,"101","",NA,"-3.46","2.5*10^-17",0,NA,Inf,2.1150499691472,0.395115826789099,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,NA,"Perfluorodecanoic acid","C10F19COOH",10,"long","PFCA","335-76-2"
"TMF_005","FW_001","PFUnDA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",7.98,6.25,10.2,2.01530612244898,0.9,NA,NA,0,NA,NA,"101","",NA,"-2.98","6.8*10^-22",0,NA,Inf,2.07693841146172,0.252544626873306,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,"PFUnA","Perfluoroundecanoic acid","C11F21COOH",11,"long","PFCA","2058-94-8"
"TMF_006","FW_001","PFDoDA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",4.79,3.89,5.87,1.01020408163265,0.68,NA,NA,0,NA,NA,"101","",NA,"-2.72","4.3*10^-24",0,NA,Inf,1.56653041142282,0.210898555664437,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,"PFDoA","Perfluorododecanoic acid","C12F25COOH",12,"long","PFCA","307-55-1"
"TMF_007","FW_001","PFTeDA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",2.37,1.84,3.05,0.61734693877551,0.38,NA,NA,0.0631764660786645,NA,NA,"101","",NA,"-2.14","1.8*10^-9",1.8e-09,NA,6.01489800849007,0.86288995514704,0.260483940411608,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,"PFTA","Perfluorotetradecanoic acid","C14F27COOH",14,"long","PFCA","0376-06-07"
"TMF_008","FW_001","PFOS","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",17.4,11.9,26,7.19387755102041,1.24,NA,NA,0,NA,NA,"101","",NA,"-3.74","3.1*10^-23",0,NA,Inf,2.85647020622048,0.413441238564391,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,NA,"Perfluorooctanesulfonic acid","C8F17SO3H",8,"long","PFSA",NA
"TMF_009","FW_001","FOSA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)",NA,NA,"10^slope",5.09,2.94,8.82,3,0.7,NA,NA,0.131412856184116,NA,NA,"101","",NA,"-2.62","1.0*10^-7",1e-07,NA,5.3267238862784,1.62727783056243,0.589390962671906,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,"PFOSA","Perfluorooctanesulfonamide","C8F17SO2NH2",8,"long","Precursor and/or intermediate","754-91-6"
"TMF_010","FW_001","PFHpA","specific tissues and whole-organisms","no","Linear regression","protein equivalent corrected concentrations (pw)",NA,NA,"10^slope",0.76,0.38,0.99,0.311224489795918,-0.12,NA,NA,-0.0729548198294123,NA,NA,"101","",NA,"0.68","0.1",0.1,NA,1.64485362695147,-0.27443684570176,0.409505907626208,"S_001","marine","North America","64° 15′ N","113° 07′ W",64.25,"-113.1167°","fish and other species",8,"Delphinapterus leucas","Beluga whale","Marine mammal","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","not water-breathing only","Air breathing",4,1,3,"Kelly_2009","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure","10.1021/es9003894","Environmental Science & Technology","Observational. Field study.","3.8","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2009,NA,"Perfluoroheptanoic acid","C7F17COOH",7,"short","PFCA","375-85-9"
