key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-735662790,Considerations for toxicity experiments and risk assessments with PFAS mixtures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1002/ieam.4415,Risk Assessment,NA,NA
rayyan-735664151,"Effects of perfluoroalkyl substances on root and rhizosphere bacteria: Phytotoxicity, phyto-microbial remediation, risk assessment",2022,NA,NA,Chemosphere,NA,289,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120415215&doi=10.1016%2fj.chemosphere.2021.133137&partnerID=40&md5=9b796e6b5d00a09a121758a5ff0edd38,NA,NA,NA,"Background: Per- and polyfluoroalkyl substances (PFAS) is easily sink into soil, affecting plants growth and microenvironment. However, the impacts of PFAS-related risk assessment on root and rhizosphere microbiomes are still poorly understood. Objective: Researched on Arabidopsis thaliana and Nicotiana benthamiana growing in contaminated with perfluorooctanoic acid (PFOA), hexafluoropropylene oxide-dimer acid (HFPO-DA) and their mixtures. Results: (i) Bioaccumulation of PFAS in roots was positively correlated with carbon chain length, contamination levels and exposure time, the phytotoxicity was as follows: HFPO-DA < (PFOA + HFPO-DA) < PFOA; (ii) Both short-term and long-term accumulation of PFAS would affect the changes in root antioxidant system and physiological metabolism; (iii) Single or mixed contamination of PFAS had unique influences on rhizosphere microbial diversity, community composition and interspecies interaction, and mixture was more complex. More importantly, the performance of Sphingomonadaceae and Rhizobiaceae microbial communities could contribute to the practice of phyto-microbial soil remediation. Future direction: Pay more attention on novel pollution pathway in cultivation, exposure levels for different plants (especially crops), as well as more exact and scientific risk assessments. Establish a new PFAS grouping strategy and ecotoxicity life cycle assessment framework. © 2021",NA,10.1016/j.chemosphere.2021.133137,Biochemistry;Alkanesulfonic Acids;Fluorocarbons;Article;Bioaccumulation;Bacteria;Risk Assessment;concentration (parameter);environmental exposure;fluorocarbon;nonhuman;Mixtures;controlled study;bioaccumulation;chemical substance;perfluoroalkanoic acid;Polyfluoroalkyl substances;perfluorooctanoic acid;Perfluorooctanoic acid;alkanesulfonic acid;phytotoxicity;risk assessment;Risk assessment;Risks assessments;Dimer acids;Hexafluoropropylene oxide;Emerging contaminant;soil;Contamination;Soil;Soils;Soil pollution;catalase;enzyme activity;bacterium;surface area;phytoremediation;superoxide dismutase;reactive oxygen metabolite;antioxidant;Plants (botany);long term exposure;Phytotoxicity;plant root;Life cycle;Exposure assessment;Arabidopsis thaliana;microbial degradation;rhizosphere;peroxidase;short term exposure;propylene oxide;Emerging contaminants;seedling;Azospirillum;Beijerinckiaceae;Bradyrhizobium;Comamonadaceae;Corynebacteriales;Cultivation;Hyphomonadaceae;Legionellales;Microbacteriaceae;microbial diversity;Microbiome;Micrococcales;Nicotiana benthamiana;Nocardiaceae;organismal interaction;Oxalobacteraceae;oxygen radical;Pedobacter;Pseudomonadales;Rhizobiaceae;Rhizosphere;rhizosphere bacterium;rhizosphere microbiome;Rhizosphere microbiome;Rhizosphere microbiomes;Rhodobacterales;Rhodococcus;root;Soil conservation;soil microorganism;Sphingobacteriales;Sphingomonadaceae,NA,NA
rayyan-735663306,Occurrence of perfluorooctane sulfonate and other perfluorinated alkylated substances in harbor porpoises from the Black Sea,2007,1,1,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"[""0013-936X"", ""1520-5851""]",41,1,315-320,NA,NA,NA,NA,NA,"Perfluorooctane sulfonate (PFOS) and other perfluorinated alkylated substances (PFAS) were determined in liver, kidney, muscle, brain, and blubber samples of 31 harbor porpoises (Phocoena phocoena relicta) of different age and sex stranded along the Ukrainian coast of the Black Sea. In all individuals and in all tissues, PFOS was the predominant PFAS, accounting for on average 90% of the measured PFAS load. PFOS concentrations were the highest in liver (327 +/- 351 ng/g wet wt) and kidney (147 +/- 262 ng/g wet wt) tissue, and lower in blubber (18 +/- 8 ng/g wet wt), muscle (41 +/- 50 ng/g wet wt), and brain (24 +/- 23 ng/g wet wt). No significant differences could be determined between males and females, nor between juvenile and adult animals (p > 0.05). Perfluorononanoic acid, perfluorodecanoic acid, perfluoroundecanoic acid, and perfluorododecanoic acid could be detected in liver tissue of approximately 25% of the individuals. Perfluorobutane sulfonate, perfluorobutanoic acid, and perfluorooctanoic acid were not detected in any of the porpoise livers. Although we investigated a potential intraspecies segregation according to the source of prey, using stable isotopes, no statistically significant correlation between PFOS concentrations and stable isotopes could be determined. It is, however, noteworthy that the contamination by PFOS in the Black Sea harbor porpoises is comparable to levels found in porpoises from the German Baltic Sea and from coastal areas near Denmark and, therefore, might pose a threat to this population.",NA,10.1021/es060827e,African Continental Ancestry Group;Sulfones,NA,NA
rayyan-735664711,Global Distribution of Polyfluoroalkyl and Perfluoroalkyl Substances and their Transformation Products in Environmental Solids,2014,NA,NA,"Transformation Products of Emerging Contaminants in the Environment: Analysis, Processes, Occurrence, Effects and Risks",NA,NA,NA,797-826,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026570073&doi=10.1002%2f9781118339558.ch27&partnerID=40&md5=cff5c277739848c77a3d3353d73332d0,NA,NA,NA,"Perfluoroalkyl and polyfluoroalkyl substances (PFASs) have been ubiquitously detected in environmental solids, like sediments, wastewater treatment plant (WWTP) sludge, and soil, with perfluorooctanoate (PFOA, C8) and perfluorooctane sulfonate (PFOS, C8) typically observed as the dominant perfluoroalkyl acids (PFAAs). Urban and industrial discharges have been identified as major contributors to current ambient levels of PFASs in near-source environments, while a number of studies have also highlighted the contribution of known fluorochemical point sources to regional contamination hotspots. In these near-source regions, the high PFAS contamination observed in sediments and soils has been attributed to the proximity of airports and fire-training facilities using aqueous film-forming foams (AFFFs), discharges from nearby fluorochemical production facilities, accidental spills, and application of contaminated WWTP biosolids to agricultural farmlands. In the case of the biosolids-applied farmlands, significant PFAS contamination was limited not only to soils, but was also observed in the plants and groundwater collected in the vicinity. In addition, since the early 2000s, China has emerged as a major fluorochemical producer, especially after the production phase-out of perfluorooctylsulfonyl (POSF)-based materials in North America in 2000-2002. This shift in the fluorochemical industry is reflected in global environmental surveys in which sediments, WWTP sludge, and soil sampled in China and other Asian-Pacific countries often exhibit the highest PFAS concentrations compared to those observed in Europe and North America. © 2014 John Wiley and Sons Ltd. All rights reserved.",NA,10.1002/9781118339558.ch27,Perfluoroalkyl substances;Perfluorooctane sulfonates;Polyfluoroalkyl substances;Geographical distribution;Contamination;Aqueous film forming foams;Soils;Soil pollution;Groundwater;Groundwater pollution;Wastewater treatment;Wastewater treatment plants;Sediments;Farms;Water;Environmental solid matrices;Solid matrixes;Fate;Global distribution;Wastewater;perfluoroalkyl substances;Biosolids;Biological materials;Polyfluoroalkyl,NA,NA
rayyan-735664576,"Occurrence, spatial and temporal distributions of perfluoroalkyl substances in wastewater, seawater and sediment from Bohai Sea, China",2016,NA,NA,Environmental Pollution,NA,219,NA,389-398,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969654494&doi=10.1016%2fj.envpol.2016.05.017&partnerID=40&md5=524641c1fed7e336ae85e9c009dad0f2,NA,NA,NA,"In this study, surface seawater and sediment samples were collected from Bohai Sea, China, to investigate the temporal and spatial distributions of perfluoroalkyl substances (PFASs) in that area. The total concentrations of PFASs in seawater and sediment samples ranged from below method limit of quantification (<MLQ) to 99.4 ng/L, and from 0.33 to 2.78 ng/g dw, respectively. PFOA was the predominant PFASs in both of surface seawater and sediment samples, with a median concentration of 4.97 ng/L in seawater and 0.24 ng/g dw in sediment sampled in July, respectively. Seasonal variation of the total PFAS concentrations was found in seawater samples, but not in the sediments. The concentrations of the total measured PFASs in water samples from drain outlets ranged from 103 ng/L to 443 ng/L, which was four times higher than that in seawater from the Bohai Sea, suggesting that discharge of wastewater from drain outlets was responsible for the contamination of PFASs in Bohai Sea area. © 2016 Elsevier Ltd",NA,10.1016/j.envpol.2016.05.017,wastewater;PFASs;Article;Perfluoroalkyl substances;China;unclassified drug;controlled study;chemical compound;spatial distribution;Spatial distribution;perfluoroalkyl substance;water pollution;river water;sea water;Pacific Ocean;limit of quantitation;organofluorine;sediment;waste water;Seawater;sea;Sediments;seasonal variation;concentration response;marine pollution;marine sediment;temporal distribution;Bohai Sea;Yellow Sea;Limit of quantifications;Seasonal variation;seawater;Temporal;Spatial;The Bohai Sea of China;Level,NA,NA
rayyan-735663338,Evaluating phospholipid-and protein-water partitioning of two groups of chemicals of emerging concern: Diastereo- and enantioselectivity,2022,5,15,JOURNAL OF HAZARDOUS MATERIALS,"[""0304-3894"", ""1873-3336""]",430,NA,NA,NA,NA,NA,NA,NA,"The partitioning between phospholipids/proteins and water can be used to predict the bioaccumulation potential of chemicals with better accuracy compared with n-octanol-water partition coefficient. However, such partitioning is poorly understood for chiral chemicals, many of which exhibit differential bioaccumulation and toxicity potential between enantiomers. In this study, the enantiospecific liposome-water and bovine serum albumin (BSA)-water partition coefficients (Klip/w and KBSA/w, determined at 25 degrees C and 37 degrees C, respectively) were measured by equilibrium dialysis for alpha-, beta-, and gamma-hexabromocyclododecane (HBCD) and three beta-blockers (propranolol, metoprolol, and sotalol). Raman and fluorescence analyses and molecular docking were conducted to provide additional insights into the partitioning process. Results showed alpha- and beta-HBCD displayed stronger enantioselective partitioning to liposomes with the (-)-form, while (-)-alpha-HBCD, R-(+)-pmpranolol, R(+)-metoprolol, and E2-sotalol favored partitioning to BSA compared with their antipodes. Raman spectra revealed alpha- and gamma-HBCD enhanced and reduced the organization of liposome acyl chains, respectively, and polar interactions enhanced the liposome partitioning of beta-blockers. Fluorescence spectra indicated the changed tryptophan microenvironment might influence the BSA steric effect toward HBCD, and electrostatic interactions dominated the formation of BSA-beta-blocker complexes. Molecular docking results supported the difference in the thermodynamic nature of interaction between the studied enantiomers and BSA.",NA,10.1016/j.jhazmat.2022.128499,Phospholipids,NA,NA
rayyan-735664031,Novel MOF-808 metal–organic framework as highly efficient adsorbent of perfluorooctane sulfonate in water,2022,NA,NA,Journal of Colloid and Interface Science,NA,623,NA,627-636,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130830484&doi=10.1016%2fj.jcis.2022.05.050&partnerID=40&md5=653d51015ed639771edb579bb7301fd9,NA,NA,NA,"Perfluorooctane sulfonate (PFOS) is a highly persistent contaminant of emerging concern causing harmful effects to human and ecosystem health. In this study, a novel MOF-808 metal–organic framework (MOF) was prepared and evaluated for adsorptive removal of PFOS from aqueous solution. The MOF-808 had high specific surface area (SSA; 1610 m2/g) and was structurally stable in aqueous medium for 7 days under different pH conditions. The MOF-808 reached PFOS adsorption equilibrium within 30 min (at 500 mg/L initial PFOS) and attained the maximum adsorption capacity of 939 mg/g at pH 4.1 – 5.4 (with 50 – 500 mg/L initial PFOS). The PFOS adsorption capacity of MOF-808 was unaffected at pH 2 to 7, but gradually decreased at pH > 7. High SSA, favorable pore size and abundant active adsorption sites on MOF-808 triggered high PFOS adsorption onto the adsorbent. The PFOS adsorption process was endothermic and spontaneous in nature. Electrostatic interaction between the cationic central cluster ([Zr6O4(OH)4]12+) of MOF-808 and PFOS anion was identified as the key mechanism of PFOS adsorption onto MOF-808, as evident from the infrared spectroscopic investigation of the adsorbent. This study suggests that MOF-808 can be considered as a highly efficient adsorbent for PFOS removal from water and warrants future research to evaluate the application and performance of the material under wastewater conditions. © 2022 Elsevier Inc.",NA,10.1016/j.jcis.2022.05.050,Alkanesulfonic Acids;Fluorocarbons;Humans;Article;Perfluorooctane sulfonates;Adsorption;ecosystem;Ecosystem;Ecosystems;fluorocarbon;chemistry;hydrogen bond;molecular size;Polyfluoroalkyl substances;water pollutant;Organometallics;perfluorooctanesulfonic acid;alkanesulfonic acid;procedures;adsorbent;adsorption;human;metal organic framework;water;polyfluoroalkyl substance;Contaminants of emerging concern;Contaminants of emerging concerns;aqueous solution;pH;water treatment;Water;temperature sensitivity;complex formation;Water treatment;Water Pollutants;Chemical;Human health;decomposition;Water Purification;Per-;polyfluoroalkyl substances;thermodynamics;water management;adsorption kinetics;crystal structure;thermogravimetry;Metalorganic frameworks (MOFs);Pore size;Adsorptive removal;isotherm;Metal-organic framework;Metal-Organic Frameworks;Adsorption capacities;Ecosystem health;Harmful effects;pore size;zirconium derivative;zirconium oxide;Sulfones;Metals,NA,NA
rayyan-735663925,"Per- and polyfluoroalkyl substances (PFAS) in white-tailed sea eagle eggs from Sweden: temporal trends (1969-2021), spatial variations, fluorine mass balance, and suspect screening",2023,NA,NA,Environmental Science: Processes and Impacts,NA,25,9,1549-1563,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170535716&doi=10.1039%2fd3em00141e&partnerID=40&md5=239bf461974d4f155a5dc088bff83db9,NA,NA,NA,"Temporal and spatial trends of 15 per- and polyfluoroalkyl substances (PFAS) were determined in white-tailed sea eagle (WTSE) eggs (Haliaeetus albicilla) from two inland and two coastal regions of Sweden between 1969 and 2021. PFAS concentrations generally increased from ∼1969 to ∼1990s-2010 (depending on target and site) and thereafter plateaued or declined, with perfluorooctane sulfonamide (FOSA) and perfluorooctane sulfonate (PFOS) declining faster than most perfluoroalkyl carboxylic acids (PFCAs). The net result was a shift in the PFAS profile from PFOS-dominant in 1969-2010 to an increased prevalence of PFCAs over the last decade. Further, during the entire period higher PFAS concentrations were generally observed in coastal populations, possibly due to differences in diet and/or proximity to more densely populated areas. Fluorine mass balance determination in pooled samples from three of the regions (2019-2021) indicated that target PFAS accounted for the vast majority (i.e. 81-100%) of extractable organic fluorine (EOF). Nevertheless, high resolution mass-spectrometry-based suspect screening identified 55 suspects (31 at a confidence level [CL] of 1-3 and 24 at a CL of 4-5), of which 43 were substances not included in the targeted analysis. Semi-quantification of CL ≤ 2 suspects increased the identified EOF to >90% in coastal samples. In addition to showing the impact of PFAS regulation and phase-out initiatives, this study demonstrates that most extractable organofluorine in WTSE eggs is made up of known (legacy) PFAS, albeit with low levels of novel substances. © 2023 The Royal Society of Chemistry.",NA,10.1039/d3em00141e,Fluorocarbons;Animals;Article;Eagles;Perfluorooctane sulfonates;Sulfur compounds;Sweden;Temporal trends;Carboxylic Acids;animal;fluorocarbon;nonhuman;unclassified drug;controlled study;eagle;perfluoro compound;perfluoroalkanoic acid;Polyfluoroalkyl substances;Mass spectrometry;diet;perfluorooctanesulfonic acid;quality control;egg;liquid chromatography;mass spectrometry;life expectancy;carboxylic acid;hatchability;organofluorine derivative;trend study;Perfluoroalkyl carboxylic acids;prevalence;White-tailed sea eagles;spatial analysis;nesting;perfluorooctane;fluorine;Fluorine;screening;time series analysis;retention time;polyfluoroalkyl;Substance concentrations;Mass balance;Extractables;Organic fluorine;Confidence levels;ion chromatography;European Continental Ancestry Group;Ovum,NA,NA
rayyan-735662808,"Perfluoroalkyl acids (PFAAs) in the aquatic food web of a temperate urban lake in East China: Bioaccumulation, biomagnification, and probabilistic human health risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.envpol.2021.118748,Humanism;Humanities;Humans,NA,NA
rayyan-735663361,"Investigation of levels of perfluoroalkyl substances in freshwater fishes collected in a contaminated area of Veneto Region, Italy",2022,NA,NA,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"[""0944-1344"", ""1614-7499""]",29,14,20996-21011,NA,NA,NA,NA,NA,"The bioaccumulation of 12 perfluoroalkyl substances (PFASs) in 107 freshwater fishes collected during 2017 in waterbodies of a contaminated area in Veneto Region (Italy) was evaluated. The contamination had been previously ascribed to a fluorochemical manufacturing plant that discharged mainly perfluorooctanoic acid (PFOA), among other PFASs, into the surrounding environment. Perfluorooctane sulfonate (PFOS) was the most abundant compound, detected in almost 99% of the fish with an average concentration of 9.23 mu g/kg wet weight (w/w). Other detected compounds were perfluoroundecanoic acid (PFUnA) (98%, 0.55 mu g/kg w/w), perfluorodecanoic acid (PFDA) (98%, 2.87 mu g/kg w/w), perfluorododecanoic acid (PFDoA) (93%, 1.51 mu g/kg w/w), and PFOA (79%, 0.33 mu g/kg w/w). Bioaccumulation of PFASs was species related, with Italian barbel being the most contaminated, followed by chub, wels catfish, and carp, reflecting animals' habitat use and feeding behavior. A significant negative linear relation between PFAS concentration and fish weight was observed no matter the considered species, with smaller fish having proportionally higher bioaccumulation. PFOS concentrations were strongly correlated with the concentrations of other PFASs, suggesting a similar source of contamination or a contamination from ubiquitous sources. Correlation analysis showed PFOA likely originated from a separated source, unlinked to other PFASs. Although the fishes studied are not usually consumed by local people, with the likely exception of freshwater anglers (and relatives), their consumption has been banned by Veneto Authority since the time this study was conducted. In fact, the study suggests that a medium/high consumption frequency (superior to 1 portion per month) of fish from the investigated area might result in a high exposure to PFASs.",NA,10.1007/s11356-021-17236-5,Italy,NA,NA
