key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-735664653,Delivery of unprecedented amounts of perfluoroalkyl substances towards the deep-sea,2015,NA,NA,Science of the Total Environment,NA,526,NA,41-48,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928321587&doi=10.1016%2fj.scitotenv.2015.04.080&partnerID=40&md5=2919e4d01493acbc2669ed797548d552,NA,NA,NA,"The finding of perfluoroalkyl substances (PFASs) in particles sinking to the deep northwestern Mediterranean Sea confirms the role of the latter as ballast for the transfer of pollutants to the deep sea. The transfer of particulate matter down to the deep is enhanced during atmosphere-driven, high-energy physical oceanographic processes like dense shelf water cascading (DSWC), which is caused by winter surface heat losses and evaporation. Here we present data from samples collected during winter 2012, when dense shelf water formation and subsequent cascading triggered the flushing of large amounts of PFASs through a submarine canyon to depths in excess of 1000. m. The finding of quantifiable concentrations of long-chain PFOA, PFOS and PFNA substances and significantly high concentrations of the short-chain substances PFHxA and PFBA indicates that these compounds, sorbed onto particulate matter, are quickly and directly transferred to the ocean's interior, thus highlighting the role of DSWC in removing those pollutants from the coastal ocean. Eventually, uncertainties about our results arising from the limited number of samples available are counterbalanced by their intrinsic value as intense DSWC events, like the one in 2012, occur only every 5-7. years in the study area, which seriously restricts sampling opportunities. Our results add PFASs to the list of persistent organic pollutants like polychlorinated biphenyls, chlorobenzenes or polycyclic aromatic hydrocarbons known to be conveyed to the deep marine environment. © 2015 Elsevier B.V.",NA,10.1016/j.scitotenv.2015.04.080,Pollution;Fluorocarbons;Article;Environmental Monitoring;Perfluoroalkyl substances;fluorocarbon;Marine pollution;unclassified drug;Organic pollutants;polychlorinated biphenyl;environmental monitoring;chemistry;perfluoro compound;water pollutant;geographic distribution;Mediterranean Sea;perfluorodecanoic acid;perfluorododecanoic acid;perfluorooctanesulfonic acid;perfluorooctanoic acid;perfluorotridecanoic acid;perfluoroundecanoic acid;concentration (composition);marine environment;procedures;perfluorohexanoic acid;polycyclic aromatic hydrocarbon;sea water;priority journal;suspended particulate matter;chemical analysis;seashore;perfluorononanoic acid;perfluoroheptanoic acid;perfluoropentanoic acid;perfluorotetradecanoic acid;perfluorobutanoic acid;sediment;perfluorodecanesulfonate;analysis;organic pollutant;Polycyclic aromatic hydrocarbons;Seawater;Geologic Sediments;perfluorohexadecanoic acid;perfluorooctadecanoic acid;Persistent organic pollutant (POP);concentration (parameters);perfluorooctanesulfonamide;winter;seasonal variation;chlorobenzene;pollution transport;perfluorobutanesulfonate;Aromatic hydrocarbons;Chains;environmental parameters;marine pollution;pollutant transport;Water Pollutants;Particulate Matter;Chemical;deep sea;Deep sea;particulate matter;Mediterranean Sea (Northwest);Dense shelf water cascading;Dense shelf-water cascading;dense water;North-western mediterranean seas;Oceanographic process;perfluorodecylphosphonic acid;perfluorohexasulfonate;perfluorohexylphosphonic acid;perlfuorooctylphosphonic acid;Settling particles,NA,NA
rayyan-735663257,Chiral organochlorine contaminants in blood and eggs of glaucous gulls (<i>Larus hyperboreus</i>) from the Norwegian Arctic,2008,10,1,ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,42,19,7181-7186,NA,NA,NA,NA,NA,"Glaucous gulls (Larus hyperboreus) and their eggs from Svalbard (Norwegian Arctic) have been used as biomonitors of contaminants in the marine environment. In this study, the enantiomer fractions (EFs) of chiral chlordanes and atropisomeric polychlorinated biphenyl (PCB) congeners were determined in the blood plasma of adult male and female glaucous gulls from three breeding colonies in Svalbard. Plasma EFs were similar in magnitude and direction to El's previously reported in glaucous gulls from other arctic food webs, suggesting overall similarities in the biochemical processes influencing the EFs of bioaccumulated organochlorine (OC) contaminants within the food webs at those locations. Additionally, EFs in yolk of eggs collected concurrently from within the same nesting colonies varied with location, laying date, and OC concentrations, and may be influenced by changes in the local feeding ecology between those colonies. No differences were found between the El's for any analyte in female gulls compared to those found in egg yolk, indicating that processes involved in the maternal transfer of chlordanes and PCBs to eggs do not modulate the stereochemical ratio between enantiomers, Therefore, the use of eggs as a valuable and noninvasive means of OC biomonitoring may also extend to enantiomer compositions in glaucous gulls, and perhaps also in other seabird species from arctic regions.",NA,10.1021/es8000147,character(0),NA,NA
rayyan-735663556,Global occurrence of polybrominated diphenyl ethers and their hydroxylated and methoxylated structural analogues in an important animal feed (fishmeal),2018,NA,NA,ENVIRONMENTAL POLLUTION,"[""0269-7491"", ""1873-6424""]",234,NA,620-629,NA,NA,NA,NA,NA,"Polybrominated diphenyl ethers (PBDEs) and their hydroxylated (OH) and methoxylated (MeO) structural analogues have been found widely distributed in aquatic ecosystems, and may exhibit potential adverse effects to humans due to their bioaccumulative behavior through food chain. Fishmeal is an important animal feed applied around the world and is generally of marine origin. However, the levels and sources of PBDEs in fishmeal have not been thoroughly evaluated and their structural analogues have not been reported to date. The present study collected ninety-two fishmeal samples from world main fishmeal producing area to determine 27 PBDEs, 10 MeO-PBDEs and 11 OH-PBDEs. The concentrations of Sigma 27PBDEs, Sigma 10MeO-PBDEs and Sigma 11OH-PBDEs were in the ranges of 0.1-1498 (mean: 75.8), 1.14-881 (37.4) and 1.00-47.5 (8.17) ng/g lipid, respectively. PBDEs were found primarily correlated with the historically commercial production, meaning higher production of certain commercial product in a country, higher corresponding PBDE congeners in local fishmeal. A market shift from penta- and octa-formulations toward deca-formulation was observed. BDE209 was identified as a major congener in fishmeal. Both the MeO-PBDEs and the OH-PBDEs were influenced by fishmeal producing areas (p < 0.001). High MeO-PBDEs were identified in the Southeast Asian fishmeal, which might be due to the suitable environmental conditions for the generation of bromoperoxidase-contained algae in local area. The ratio of two major MeO-PBDE congeners, 6-MeO-BDE47/2'-MeO-BDE68, were generally >1 in the northern hemisphere and <1 in the southern hemisphere in the present study, which was consistent with the results obtained from previous published papers. Both MeO-PBDEs and OH-PBDEs were in accordance with the specialties of naturally produced halogenated compounds. (C) 2017 Published by Elsevier Ltd.",NA,10.1016/j.envpol.2017.11.059,Animal Shells;Animals;Ether;Ethers;Hydroxylation,NA,NA
rayyan-735663399,<SUP>1</SUP>H NMR metabolomic analysis of skin and blubber of bottlenose dolphins reveals a functional metabolic dichotomy,2019,NA,NA,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,"[""1744-117X"", ""1878-0407""]",30,NA,25-32,NA,NA,NA,NA,NA,"The common bottlenose dolphin (Tursiops truncatus) is a carnivorous cetacean that thrives in marine environments, one of the apex predators of the marine food web. They are found in coastal and estuarine ecosystems, which are known to be sensitive to environmental impacts. Dolphins are considered sentinel organisms for monitoring the health of coastal marine ecosystems due to their role as predators that can bioaccumulate contaminants. Although recent studies have focused on capturing the circulating metabolomes of these mammals, and in the context of pollutants and exposures in the marine environment, skin and blubber are important surface and protective tissues that have not been adequately probed for metabolism. Using a proton nuclear magnetic resonance spectroscopy (H-1 NMR) based metabolomics approach, we quantified 51 metabolites belonging to 74 different metabolic pathways in the skin and blubber of stranded bottlenose dolphin (n = 4) samples collected at different localities in the Southern Zone coast of Yucatan Peninsula of Mexico. Results indicate that metabolism of skin and blubber are quantitatively very different. These metabolite abundances could help discriminate the tissue-types using supervised partial least square regression discriminant analysis (PLSDA). Further, using hierarchical clustering analysis and random forest analysis of the metabolite abundances, the results pointed to unique metabolites that are important classifiers of the tissue-type. On one hand, the differential metabolic patterns, mainly linking fatty acid metabolism and ketogenic amino acids, seem to constitute a characteristic of blubber, thus pointing to fat synthesis and deposition. On the other hand, the skin showed several metabolites involved in gluconeogenic pathways, pointing towards an active anabolic energy generating metabolism. The most notable pathways found in both tissues included: urea cycle, nucleotide metabolism, amino acid metabolism, glutathione metabolism among others. Our H-1 NMR metabolomics analysis allowed the quantification of metabolites associated with these two organs, i.e., pyruvic acid, arginine, ornithine, 2-hydroxybutyric acid, 3-hydroxyisobutyric acid, and acetic acid, as discriminatory and classifying metabolites. These results would lead to further understanding of the functional and physiological roles of dolphin skin and blubber metabolism for better efforts in their conservation, as well as useful target biopsy tissues for monitoring of dolphin health conditions in marine pollution and ecotoxicology studies.",NA,10.1016/j.cbd.2019.02.004,character(0),NA,NA
rayyan-735664422,The effect of environmentally relevant emerging per- and polyfluoroalkyl substances on the growth and antioxidant response in marine Chlorella sp.,2019,NA,NA,Environmental Pollution,NA,252,NA,103-109,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066434514&doi=10.1016%2fj.envpol.2019.05.103&partnerID=40&md5=80084c76b1dedabc92711ceba237a6a6,NA,NA,NA,"The 6:2 chlorinated polyfluoroalkyl ether sulfonic acids (6:2 Cl-PFAES), 2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)-propanoic acid (HFPO-DA) and perfluoroethylcyclohexane sulfonate (PFECHS) are emerging per- and polyfluoroalkyl substances (PFASs) that are being applied to replace phased-out PFASs, which have high persistency, high bioaccumulation potential and high toxicity. Recently, these emerging PFASs were observed in estuary and marine areas with a pollution level of ng/L. In this study, three levels (10 ng L−1, 100 ng L−1 and 1000 ng L−1) for these PFASs were selected to investigate the response of marine Chlorella sp. to 14 days of exposure. The growth of Chlorella sp. was significantly inhibited by each PFAS over time. Treatments with 1000 ng/L exposure caused the most severe reduction in growth for each PFAS treatment. For the first half of the experimental period (from Day 0 to Day 6), the influence of each PFAS was not significant (p > 0.05). However, treatments with all concentrations of 6:2 Cl-PFAES, HFPO-DA and 1000 ng L−1 PFECHS significantly reduced the growth of Chlorella sp. from Day 8. The superoxide dismutase (SOD) activities in Chlorella sp. were significantly increased (p < 0.05) when exposed to 6:2 Cl-PFAES, HFPO-DA and PFECHS. The catalase (CAT) and peroxidase (POD) activities in Chlorella sp. were significantly inhibited (p < 0.05) by each PFAS. The glutathione (GSH) contents in Chlorella sp. were significantly increased by each PFAS. However, the increases in GSH concentration in Chlorella sp. were low. The inhibition of algal growth was primarily due to the reduction of the activities of CAT and POD. PFECHS had the lowest toxicity among the three PFASs, and it induced less oxidized damage to Chlorella sp. In conclusion, as alternatives to phased-out PFASs, the emerging PFASs are not safe in aquatic environment, and attention should be paid to the management and restriction of these emerging PFASs. Environmentally relevant emerging PFASs inhibited the growth of Chlorella sp. and affected the antioxidant response of algae. © 2019 Elsevier Ltd",NA,10.1016/j.envpol.2019.05.103,Biochemistry;Fluorocarbons;Antioxidants;Article;Sulfonic Acids;environmental exposure;fluorocarbon;Marine pollution;nonhuman;unclassified drug;controlled study;perfluoro compound;Polyfluoroalkyl substances;water pollutant;concentration (composition);oxidative stress;sulfonic acid derivative;toxicity;Toxicity;ecotoxicology;growth;growth rate;pollution effect;polyfluoroalkyl ether sulfonic acid;metabolism;glutathione;Glutathione;Estuaries;estuary;catalase;Propionic acid;aquatic environment;enzyme activity;environmental impact;superoxide dismutase;Enzymes;antioxidant;aging;concentration response;marine pollution;perfluoroethylcyclohexane sulfonate;Water Pollutants;algae;Algae;antioxidant activity;development;Catalase;Chemical;Aquatic environments;2;1;3;green alga;algal growth;Chlorella;growth inhibition;Emerging PFASs;Propionates;peroxidase;3 tetrafluoro 2 (1;3 heptafluoropropoxy)propanoic acid;Long term exposure;Bioaccumulation potential;Anti-oxidant response;Chlorella sp.;Environmentally relevant concentration;HFPO2 compound;Long-term exposure;Marine microalgae;perfluoroethylcyclohexanesulfonic acid;Peroxidase;propionic acid derivative;Superoxide Dismutase;Superoxide dismutase activities;Growth Substances;Military Personnel,NA,NA
rayyan-735663142,Persistent organohalogen contaminant burdens in Antarctic krill (<i>Euphausia superba</i>) from the eastem Antarctic sector: A baseline study,2008,12,15,SCIENCE OF THE TOTAL ENVIRONMENT,"[""0048-9697"", ""1879-1026""]",407,1,304-314,NA,NA,NA,NA,NA,"A baseline for persistent organohalogen compound (POC) accumulation in the Antarctic keystone species, Antarctic krill (Euphausia superba) has been established fora 50 degrees longitudinal range of the eastern Antarctic sector. Samples of adult krill, caught from 12 sites distributed between 30 degrees and 80 degrees E (60-70 degrees S), were analysed for > 100 organohalogen compounds including chlorinated pesticides, polychlorinated biphenyls (PCBs), polybrominated organic compounds and polychlorinated dibenzo-p-dioxins/furans (PCDD/Fs). Organochlorine pesticides dominated measured krill contaminant burdens with hexachlorobenzene (HCB) as the single most abundant compound quantified. Krill HCB concentrations were comparable to those detected at this trophic level in both the Arctic and temperate northwest Atlantic, lending support for the hypothesis that HCB will approach global equilibrium at a faster rate than other POCs. Para, para'-dichlorodiphenylethene (p,p'-DDE) was detected at notable concentrations. Measurements of DDT and its degradation products provide an important baseline for monitoring the temporal and geographical influence of renewed, DDT usage for malaria-control in affected southern hemisphere countries. In contrast to the Arctic, PCBs did not feature prominently in contaminant burdens of Antarctic krill. The major commercial polybrominated diphenyl ether (PBDE) congeners -99 and -47 were quantified at low background levels with clear concentration spikes observed at around 70 degrees E, in the vicinity of modem, active research stations. The likelihood that local anthropogenic activities are supplementing low PBDE levels, delivered otherwise primarily via long range environmental transport, is discussed. The suspected naturally occurring brominated organic compound, 2,4,6-tribromoanisole (TBA), was a ubiquitous contaminant in all samples whereas the only PCDD/Fs quantifiable were trace levels of octachlorodibenzo-p-dioxin (OCDD) and 1,2,3,4,7,8/1,2,3,4,7,9-hexachlorodibenzofuran (HxCDF). With the aims of, i) Generating a robust and broadly applicable POC auditing platform for the scarcely studied eastern Antarctic sector; ii) Determining the compounds accumulating in Antarctic krill for further toxicity evaluation studies and iii) Establishing a baseline for Antarctic predator exposure to POCs, this study represents one of the most comprehensive reports of POC contamination of the Antarctic food web to date. (C) 2008 Elsevier B.V. All rights reserved.",NA,10.1016/j.scitotenv.2008.08.034,character(0),NA,NA
rayyan-735662871,Stranded cetaceans warn of high perfluoroalkyl substance pollution in the western Mediterranean Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.envpol.2020.115367,character(0),NA,NA
rayyan-735662806,Bioaccumulation and risk mitigation of legacy and novel perfluoroalkyl substances in seafood: Insights from trophic transfer and cooking method,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.envint.2023.108023,"Sterilization;Tubal;Sterilization, Tubal",NA,NA
rayyan-735663097,The Effects of Soil Organic Carbon Content on Plant Uptake of Soil Perfluoro Alkyl Acids (PFAAs) and the Potential Regulatory Implications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1002/etc.4786,character(0),NA,NA
rayyan-735664268,Rapid biomonitoring of perfluoroalkyl substance exposures in serum by multisegment injection-nonaqueous capillary electrophoresis-tandem mass spectrometry,2020,NA,NA,Analytical Science Advances,NA,1,3,173-182,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095974810&doi=10.1002%2fansa.202000053&partnerID=40&md5=0acbe2b5832323144ecd91dd4dc4bd51,NA,NA,NA,"Perfluoroalkyl substances (PFASs) are a major contaminant class due to their ubiquitous prevalence, persistence, and putative endocrine disrupting activity that may contribute to chronic disease risk notably with exposures early in life. Herein, multisegment injection-nonaqueous capillary electrophoresis-tandem mass spectrometry (MSI-NACE-MS/MS) is introduced as a high throughput approach for PFAS screening in serum samples following a simple methyl-tert-butyl ether (MTBE) liquid extraction. Separation and ionization conditions were optimized to quantify low nanomolar concentration levels of perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS) from serum extracts when using multiple reaction monitoring under negative ion mode conditions. Multiplexed separations of PFOA and PFOS were achieved with excellent throughput (<3 min/sample), adequate concentration sensitivity (LOD ∼ 20 nM, S/N = 3) and good technical precision over three consecutive days of analysis (mean CV = 9.1%, n = 84). Accurate quantification of PFASs was demonstrated in maternal serum samples (n = 16) when using MSI-CE-MS/MS following pre-column sample enrichment with median concentrations of 3.46 nM (0.7-9.0 nM) and 3.29 nM (1.5-6.6 nM) for PFOA and PFOS, respectively. This was lower than average PFAS exposures measured in pregnant women who had serum collected prior to 2009 likely due to subsequent phase out of their production. Overall, this method offers a convenient approach for large-scale biomonitoring of environmental exposures to legacy PFASs and their emerging replacements that is relevant to maternal health and chronic disease risk assessment in children. © 2020 The Authors. Analytical Science Advances published by WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.",NA,10.1002/ansa.202000053,"Biomonitoring;Perfluoroalkyl substances;Health risks;Mass spectrometry;Perfluorooctanoic acid;Risk assessment;mass spectrometry;serum;Tandem mass spectrometry;Diagnosis;Diseases;Capillary electrophoresis;Serum;Endocrine disrupters;Negative ions;Maternal exposure;perfluoroalkyl substances;Screening;Tandem-mass spectrometry;capillary electrophoresis;Chronic disease;maternal exposures;Multi-segment;Non-aqueous capillary electrophoresis;Electrophoresis, Capillary;Mass Spectrometry;Environmental Monitoring",NA,NA
